,country,nCFR,cCFR,total_deaths,cum_known_t,total_cases,nCFR_UQ,nCFR_LQ,cCFR_UQ,cCFR_LQ,underreporting_estimate,lower,upper,quantile25,quantile75
62,Mali,0.05660377358490566,0.11059907834101383,24,217.0,424,0.03460822,0.07859933,0.06886962,0.15232854,0.12658333333333333,0.1742422900435312,0.11160088697806417,0.0962385628784584,0.12495959380356926
63,Mexico,0.09366045845272206,0.19127148604169206,1569,8203.0,16752,0.08924843,0.09807249,0.18276034,0.19978264,0.07319439133205863,0.06565976097427337,0.08509248032083151,0.18834251220442386,0.19420045987896026
64,Moldova,0.029411764705882353,0.04781054512957998,107,2238.0,3638,0.02392148,0.03490205,0.03897076,0.05665033,0.29282242990654206,0.30792315065429054,0.3000865255214472,0.04476847764048984,0.05085261261867012
65,Morocco,0.038805268109125116,0.06321839080459771,165,2610.0,4252,0.03300026,0.04461027,0.05388222,0.07255456,0.2214545454545454,0.2227079682011258,0.23430642950925207,0.06000549976625625,0.06643128184293916
66,Netherlands,0.118856726364015,0.15686409234574689,4566,29108.0,38416,0.11562059,0.12209287,0.15268625,0.16104194,0.08924923346473937,0.07859254071842266,0.10556256420040125,0.15542635440211838,0.1583018302893754
67,New_Zealand,0.016873889875666074,0.018943170488534396,19,1003.0,1126,0.00935089,0.02439689,0.0105065,0.02737984,0.7390526315789474,1.1421500004259402,0.6208947878482889,0.016039827767689023,0.02184651320937977
68,Niger,0.04372355430183357,0.05719557195571956,31,542.0,709,0.02867224,0.05877487,0.03764586,0.07674529,0.24477419354838706,0.3187601868376965,0.22151197029228079,0.05046785484941865,0.06392328906202047
69,Nigeria,0.028720626631853787,0.06557377049180328,44,671.0,1532,0.02035713,0.03708412,0.04684435,0.08430319,0.21349999999999997,0.25616751810835153,0.20165309416363245,0.059128343658781356,0.0720191973248252
70,North_Macedonia,0.04996481351161154,0.06893203883495146,71,1030.0,1421,0.03863682,0.06129281,0.0534606,0.08440348,0.20309859154929577,0.22446437595976051,0.20141349946954296,0.06360779428217483,0.07425628338772808
71,Norway,0.02564102564102564,0.030013852547329536,195,6497.0,7605,0.02208859,0.02919346,0.02586493,0.03416277,0.466451282051282,0.46394866951330166,0.4976176584736137,0.02858606838809054,0.031441636706568535
72,Pakistan,0.021968424588511924,0.039912120102526545,327,8193.0,14885,0.01961365,0.0243232,0.0356734,0.04415084,0.35077064220183485,0.33638507217131713,0.3850436548502983,0.03845343425476092,0.04137080595029217
73,Panama,0.02838709677419355,0.04325387072990907,176,4069.0,6200,0.0242532,0.03252099,0.03700337,0.04950438,0.3236704545454545,0.32429482274609833,0.3434039884971419,0.041102861096811626,0.045404880363006515
74,Peru,0.027380570695735813,0.05768711159146177,854,14804.0,31190,0.02556951,0.02919163,0.05393137,0.06144285,0.2426885245901639,0.2225050028977,0.2766798670525537,0.056394634724108564,0.05897958845881497
75,Philippines,0.06659964815280221,0.0945247012662743,530,5607.0,7958,0.06112172,0.07207757,0.08686708,0.10218232,0.14810943396226414,0.13814208711636328,0.16636928874128631,0.09188945603135709,0.0971599465011915
76,Poland,0.04878048780487805,0.07225118196144988,596,8249.0,12218,0.04496094,0.05260003,0.0666641,0.07783826,0.19376845637583892,0.18000693303619825,0.2184015793677276,0.07032847815770789,0.07417388576519186
77,Portugal,0.038977057807746074,0.05186563081299923,948,18278.0,24322,0.03654474,0.04140937,0.0486508,0.05508046,0.26992827004219405,0.24665577436283284,0.30863937162053773,0.05075929799627296,0.052971963629725505
78,Puerto_Rico,0.06142857142857143,0.08523290386521308,86,1009.0,1400,0.04885082,0.07400632,0.06800385,0.10246196,0.16425581395348834,0.1764605963202159,0.16591523770274386,0.07930380514948338,0.09116200258094279
79,Romania,0.0559573002754821,0.08301404853128991,650,7830.0,11616,0.05177761,0.06013699,0.07690288,0.08912522,0.16864615384615383,0.15604097262101846,0.1907428708160462,0.08091098878074245,0.08511710828183737
80,Russia,0.009266978772526134,0.020703983188461172,867,41876.0,93558,0.008653,0.00988096,0.01934019,0.02206778,0.6761983852364474,0.6204696956733244,0.7703539074527861,0.020234654927917425,0.02117331144900492
81,San_Marino,0.07414104882459313,0.09832134292565947,41,417.0,553,0.05230433,0.09597776,0.06974347,0.12689921,0.14239024390243904,0.17205911222172285,0.1339645816623457,0.08848673336849959,0.10815595248281935
82,Saudi_Arabia,0.007570852218957015,0.016033755274261603,152,9480.0,20077,0.00637185,0.00876986,0.01350532,0.01856219,0.873157894736842,0.8885386649367135,0.9158402389993671,0.015163635755406022,0.016903874793117182
83,Serbia,0.019771684123808402,0.030684931506849315,168,5475.0,8497,0.01681162,0.02273175,0.02611667,0.03525319,0.45625,0.45947667316430396,0.48222580336747006,0.029112838073097298,0.03225702494060133
