,country,nCFR,cCFR,total_deaths,cum_known_t,total_cases,nCFR_UQ,nCFR_LQ,cCFR_UQ,cCFR_LQ,underreporting_estimate,lower,upper,quantile25,quantile75
39,Guernsey,0.05263157894736842,0.07471264367816093,13,174.0,247,0.02478433,0.08047883,0.03564575,0.11377953,0.18738461538461534,0.33664598309375077,0.1494117574892191,0.06126840864917955,0.08815687870714231
40,Honduras,0.08943089430894309,0.1783783783783784,66,370.0,738,0.06884261,0.11001918,0.13937033,0.21738643,0.07848484848484848,0.08610154201635709,0.07820175325136806,0.16495439122627706,0.19180236553047972
41,Hungary,0.11001100110011001,0.2073255010366275,300,1447.0,2727,0.098267,0.121755,0.18643794,0.22821306,0.06752666666666667,0.06436457990434843,0.07449179380259983,0.20013738806621706,0.21451361400703794
42,India,0.032139665517681604,0.08256128556202345,1007,12197.0,31332,0.03018676,0.03409257,0.07767703,0.08744554,0.16957100297914596,0.15448582316102444,0.19440671167256243,0.08088044857127595,0.08424212255277096
43,Indonesia,0.0812743139522658,0.16663073938348782,773,4639.0,9511,0.07578264,0.08676599,0.15590735,0.17735413,0.08401811125485123,0.07696879103494265,0.0958534194586629,0.16294045812695082,0.17032102064002483
44,Iran,0.063477490711138,0.09130455046840773,5877,64367.0,92584,0.06190695,0.06504803,0.08907934,0.09352976,0.1533329930236515,0.13471137659984614,0.1817603202531585,0.0905387791285134,0.09207032180830206
45,Iraq,0.047644829453167295,0.07457627118644068,88,1180.0,1847,0.03793029,0.05735936,0.0595871,0.08956545,0.18772727272727271,0.20138588393402473,0.1898053399984998,0.0694179901651477,0.07973455220773366
46,Ireland,0.0583085978769432,0.1104019813297771,1159,10498.0,19877,0.05505103,0.06156616,0.10440711,0.11639686,0.12680931837791198,0.1149347055097396,0.1460520542540877,0.10833894247528492,0.1124650201842693
47,Isle_of_Man,0.06796116504854369,0.10294117647058823,21,204.0,309,0.03989932,0.09602301,0.06124099,0.14464137,0.136,0.19594720236281873,0.11753207559844554,0.08859073388548715,0.11729161905568931
48,Israel,0.013342741676823401,0.02054320987654321,208,10125.0,15589,0.01154161,0.01514387,0.01778023,0.02330619,0.6814903846153845,0.6749068194042612,0.7294200307084031,0.019592376034726064,0.021494043718360355
49,Italy,0.13577330587330338,0.1935481588907361,27359,141355.0,201505,0.13427767,0.13726894,0.19148859,0.19560773,0.07233341861910157,0.06266691909231273,0.08690863201172104,0.19283939185927046,0.19425692592220173
50,Japan,0.02808258735200693,0.05234122712594187,389,7432.0,13852,0.02533137,0.03083381,0.04727782,0.05740464,0.26747557840616965,0.25381883077744904,0.2961433177246902,0.05059873651072516,0.05408371774115858
51,Jersey,0.07042253521126761,0.10989010989010989,20,182.0,284,0.04066565,0.10017943,0.06445271,0.15532751,0.12739999999999999,0.18618302991005228,0.10944616014228414,0.0942535656660857,0.12552665411413408
